# values, errors, pulls
3.034099239419819627e-01,2.831459546707520980e-02,1.347185215218657806e-01
2.738155011984139686e-01,2.894346159592355028e-02,-8.906993456644726193e-01
3.278087888150029161e-01,3.442099751786087403e-02,8.196556563241748083e-01
3.137597570032896188e-01,2.794291975181716070e-02,5.069024148487785153e-01
2.770802449878624896e-01,2.150539633035560352e-02,-1.046954827962153445e+00
3.002763890639643662e-01,2.269404702082421926e-02,3.000635189358862726e-02
2.663239023624368595e-01,2.327196684276140043e-02,-1.429682388494804224e+00
3.156977770797650407e-01,2.762391026717051640e-02,5.829136216002672732e-01
2.531380515801576192e-01,2.843337943749111099e-02,-1.633902576552452413e+00
2.985126257971769670e-01,2.559031702342840289e-02,-4.231278983373203129e-02
2.900736651932896981e-01,2.594246421364212324e-02,-3.670336877585843038e-01
3.195815922859768787e-01,3.266223727395735354e-02,6.119044637136544784e-01
2.854210508810283153e-01,3.087764587738747041e-02,-4.590496528920887109e-01
2.625824123130157672e-01,2.806453038414455717e-02,-1.318853751818455988e+00
2.805814457038549592e-01,3.318481261717605435e-02,-5.729722815873761199e-01
2.998385471831965798e-01,2.309989024470956304e-02,1.052488464028061843e-02
2.656559891061111012e-01,2.226614219480443913e-02,-1.524261998334680568e+00
3.065694809330953285e-01,2.558743781536737885e-02,2.725578653185415923e-01
3.720465206263190994e-01,3.041550204035434538e-02,2.382045084346310126e+00
3.681161986064538927e-01,3.694932859368631195e-02,1.854452508644350850e+00
3.076731060112577465e-01,3.044079504273465228e-02,2.653571464460744989e-01
2.929976677871310442e-01,2.914725381280536265e-02,-2.263594285214687862e-01
3.015684115056878056e-01,3.057028340198834904e-02,6.453940830629037451e-02
2.997045937441498165e-01,1.720558023170488948e-02,6.345048496578994772e-03
2.844134680083649225e-01,2.488172442974585438e-02,-6.101649239653610390e-01
3.121550212724815698e-01,2.533435317990742272e-02,4.957536385525196931e-01
2.975802568004858872e-01,2.277694124801480507e-02,-8.847398255714511439e-02
3.277995367769122592e-01,2.908869601436132532e-02,9.695901548773375733e-01
3.023038960114610707e-01,3.609293984519534176e-02,7.504161533834578790e-02
2.815079285664907616e-01,2.422447632034395448e-02,-7.466619586524168017e-01
2.976811530401727857e-01,2.767878411829110402e-02,-6.916020786224008621e-02
3.140129793704995453e-01,2.822276794020313687e-02,5.108484007620659462e-01
3.313677490996982944e-01,2.726512491277227959e-02,1.165310105791841133e+00
2.696261975916715570e-01,3.234783977104910280e-02,-9.264676134051579304e-01
2.845559338020368090e-01,3.189575038820510050e-02,-4.715201717496695921e-01
2.126212587254523723e-01,3.423307883263030510e-02,-2.540646875583198128e+00
3.611445563173616979e-01,2.617013558671047943e-02,2.351884368740116305e+00
3.681634686740272722e-01,3.567513876632942560e-02,1.922012010099724000e+00
2.380464049914701452e-01,2.858506356846940433e-02,-2.153188092944772425e+00
3.457589635223293767e-01,3.217167025640282896e-02,1.434912755577992138e+00
3.997311324664844512e-01,3.195367382620648011e-02,3.133777652859162099e+00
2.706490414092383445e-01,2.186881281039374653e-02,-1.323637562994364858e+00
3.584876834570177584e-01,2.824339073173018355e-02,2.085169607050299412e+00
3.646780437048876000e-01,2.185012268868881044e-02,2.978592895288920239e+00
2.725465549788322339e-01,2.709646565741286386e-02,-9.982434191352107522e-01
2.814970756659139206e-01,3.209524166878881951e-02,-5.638950478710299530e-01
2.771403740856727693e-01,2.704918525508935578e-02,-8.301562211848927397e-01
3.388995931153639396e-01,3.305102606675321825e-02,1.189196654070992176e+00
3.554526624713519878e-01,2.924350358156341950e-02,1.910073422371980856e+00
3.198766181808117559e-01,3.481339138639202857e-02,5.825687722446790673e-01
3.396143016924282332e-01,3.033643104110837416e-02,1.319168960087344189e+00
3.205541933245488750e-01,3.235842624361935649e-02,6.477067105670440972e-01
3.589441607252036870e-01,3.094498203382819307e-02,1.917879194667407861e+00
3.332109247879800895e-01,2.254477462438865543e-02,1.491055104558348221e+00
3.064499772181123460e-01,2.848183094914032154e-02,2.406640825579147436e-01
3.221002951149833371e-01,3.012088063585498937e-02,7.471518473807949867e-01
3.087072179000945882e-01,2.805603640161484849e-02,3.247712637128694069e-01
2.230739129107176533e-01,2.337716922432028777e-02,-3.273343742271478618e+00
2.886880363807204364e-01,2.631436638847900467e-02,-4.145031258371062455e-01
2.372110646085598407e-01,2.732782196464122668e-02,-2.282814890089871263e+00
2.861110889282245662e-01,2.806128611219034855e-02,-4.805315950606217634e-01
2.635222349139130227e-01,2.992575560212071273e-02,-1.205422816013991927e+00
2.460068985605444458e-01,2.554815031841577155e-02,-2.097550087764882942e+00
3.436091852453586615e-01,3.257218256347761687e-02,1.351268422262324354e+00
2.555968434330845307e-01,2.800369876138373432e-02,-1.571170310214737409e+00
2.952099819635150002e-01,2.780851119745634051e-02,-1.577014140927474883e-01
2.709372492120465381e-01,2.545561829723810843e-02,-1.125809397221779307e+00
2.580958603542684582e-01,2.576697712768714899e-02,-1.610571660899534630e+00
2.524121994046556461e-01,2.864050660360205336e-02,-1.647429801139693950e+00
