# values, errors, pulls
3.006540616839564750e-01,2.364260728568170003e-02,4.477671045315435167e-02
3.012672957064105872e-01,1.965148041170595647e-02,8.507614531914967082e-02
3.153835327241588105e-01,1.741950570713704516e-02,9.063465684059166527e-01
2.948075563926476628e-01,2.013574527186054106e-02,-2.377794834945191338e-01
2.786534376919970191e-01,2.141151109068156408e-02,-9.780713618239184060e-01
2.915733756520469955e-01,1.817944337137644001e-02,-4.412702681398704696e-01
2.918062245407761490e-01,2.205556615579903554e-02,-3.531625036224117498e-01
3.002227764901694296e-01,2.101626337306012823e-02,2.985083389303824428e-02
2.856893137461974375e-01,1.710793501463839586e-02,-8.128456032286581756e-01
3.092428577666557210e-01,1.702145617032018582e-02,5.667807834390691246e-01
3.112622982343382083e-01,1.965333630552959163e-02,5.936332920679625591e-01
3.060544972237669858e-01,2.031524321525158064e-02,3.179422294954360462e-01
2.936434808465521185e-01,2.146398519591152104e-02,-2.772990477905044604e-01
2.920922647019374985e-01,1.964200409771096542e-02,-3.819955827269566062e-01
3.004777275446688933e-01,2.924491854503307245e-02,3.016948192700215012e-02
3.069812871805374099e-01,1.858235374605416573e-02,3.974665307906905531e-01
2.507455967964435928e-01,1.632082028188389447e-02,-2.993098745223459645e+00
3.198148255882397040e-01,2.165459038492008673e-02,9.337235997385712194e-01
3.475902436695225139e-01,1.934072533630921617e-02,2.481541893170459367e+00
3.311847106546580988e-01,2.198861072538233971e-02,1.436620418907386565e+00
3.020632745950128650e-01,2.243444118245459945e-02,1.100027886486889539e-01
3.265534711479453622e-01,2.206037383190706178e-02,1.222012276409689457e+00
3.161608598877616583e-01,2.216499872982427219e-02,7.473691556004489200e-01
3.046200898420485248e-01,1.797495367227358587e-02,2.795370953657153601e-01
2.651054403457566711e-01,1.740276791805175569e-02,-1.981867672994420904e+00
2.762878262408826058e-01,1.915426443116178060e-02,-1.216835934684418863e+00
2.634859767213724724e-01,1.499182422390772304e-02,-2.408609268791387592e+00
3.513247826986053979e-01,1.922349856901156215e-02,2.690944055252548317e+00
3.142350597633951637e-01,2.046359311033109363e-02,7.153991081281048103e-01
2.669583411009762708e-01,1.702522990574740352e-02,-1.916983358396465498e+00
2.787158863337991788e-01,1.863542413376584675e-02,-1.120421892171302725e+00
3.021377694229561706e-01,2.314604457607110852e-02,1.098393253081623999e-01
2.807931880877644337e-01,1.866879606981340992e-02,-1.007147720993416984e+00
3.151860326832550685e-01,1.988978857838941822e-02,7.838499197033523824e-01
2.942384494784686666e-01,2.338518187248948832e-02,-2.290755767438006352e-01
2.520732701954084831e-01,2.215073304344388622e-02,-2.145398674371404635e+00
3.475868691045674863e-01,2.066151520146784423e-02,2.322745700566538840e+00
3.172953891529931569e-01,2.259000917295212602e-02,7.835306977660783101e-01
2.412213707392160678e-01,2.141679991573169559e-02,-2.725619746817225408e+00
3.184992957520129675e-01,1.697010830643517001e-02,1.113951184488117585e+00
3.439644672353840416e-01,2.038458173886911057e-02,2.176598190759722051e+00
2.656285566019797595e-01,1.794443451969530631e-02,-1.892891462470273511e+00
3.090805058196395838e-01,1.967678120005635078e-02,4.820444065538804779e-01
3.513327023918212388e-01,1.601152484792548250e-02,3.231252449722592068e+00
2.829720040504830614e-01,2.193006589647310614e-02,-7.580195851284815545e-01
2.908002496152058969e-01,2.163883031610815827e-02,-4.064532952788468267e-01
2.759755313271204935e-01,2.166337197643297685e-02,-1.090314665775154790e+00
3.141961811713142039e-01,1.903493710759832439e-02,7.670504812079488310e-01
3.157520410747268191e-01,2.725771952787376870e-02,5.927354837970645329e-01
3.178759520896949353e-01,1.899312069736428313e-02,9.624815678164935218e-01
3.465447314291785763e-01,1.957187115302495839e-02,2.398815502050471782e+00
3.094644722231790213e-01,1.935240118636197965e-02,5.099650748748464357e-01
3.067454357209922211e-01,1.927279000287557276e-02,3.709899924586707032e-01
3.208146860564996539e-01,1.749617812945455583e-02,1.212794154033529859e+00
2.994637697463052306e-01,2.144865271553535874e-02,-6.138089818913429474e-03
2.840783865030460653e-01,2.026553374428215898e-02,-7.656860754777738975e-01
2.929457177004562429e-01,1.901587579421953889e-02,-3.496923241754139045e-01
2.634486723354251270e-01,1.448562653341185086e-02,-2.495352968293665263e+00
2.987845545123988256e-01,2.203546567677759985e-02,-3.679835963818948313e-02
2.252552353982259781e-01,1.982816756960117249e-02,-3.749221295613510030e+00
2.938123354684072930e-01,2.416986676696651279e-02,-2.392685110976469354e-01
2.615426838123934283e-01,1.529903261616738508e-02,-2.487264433344751335e+00
2.655073464244842030e-01,1.668990181387963734e-02,-2.042437244917485017e+00
3.180234651604065821e-01,1.770428517479527564e-02,1.040880299616604443e+00
2.777228744324048426e-01,2.318200713658637516e-02,-9.435140340476932952e-01
2.928966625693398274e-01,2.466283825617783879e-02,-2.716135452151398622e-01
