# values, errors, pulls
2.884477187242088791e-01,1.027883718128247761e-02,-1.084529755881209923e+00
3.103912773344504328e-01,8.168392096786408763e-03,1.321662048462370675e+00
3.033037135336810186e-01,1.095025697139783739e-02,3.386486764830483054e-01
2.998905900788662593e-01,8.541960751640438609e-03,3.455489720456816904e-02
3.060081143201550113e-01,1.016951085379356676e-02,6.305800651754057684e-01
3.060085931179338248e-01,8.352226023172037994e-03,7.678395671972416681e-01
2.780686524427581352e-01,9.785067422828412631e-03,-2.199961444331809624e+00
2.871181363639658257e-01,9.013945447407628944e-03,-1.384220396273915243e+00
2.913304496295147095e-01,9.682181442769137100e-03,-8.536272453172853991e-01
2.985677983535081625e-01,1.003858327727910962e-02,-1.023675474193243284e-01
3.218978272339783619e-01,1.083388617165055925e-02,2.058578369520813300e+00
3.197103522907768780e-01,1.028396756452652945e-02,1.955950236268087172e+00
2.933846487568745331e-01,7.281437871501337221e-03,-8.529599312522534449e-01
2.976997403247296781e-01,8.187361582219035774e-03,-2.315377376950291666e-01
2.970015111786190598e-01,1.208116522387935217e-02,-2.147071310159504309e-01
3.102535522212992447e-01,9.694076336754961845e-03,1.099447574775249459e+00
2.779195660405714974e-01,9.913431150765155894e-03,-2.186514147619146531e+00
3.035898306007203673e-01,9.833232920118121362e-03,4.062150393468475507e-01
3.093114243802947971e-01,1.015010211530940724e-02,9.572318353794960766e-01
2.945422246661447141e-01,9.885565539624842010e-03,-5.111694234151952232e-01
3.105374067838735930e-01,8.967885248455466363e-03,1.220129715931663528e+00
3.246765122682545024e-01,1.028313948473776746e-02,2.439049747629308929e+00
2.942717711205191100e-01,8.490785570191741738e-03,-6.269917357633302268e-01
3.227406954711888876e-01,8.064932511888285582e-03,2.869865548645725184e+00
3.022394590697716210e-01,8.138552337148155166e-03,3.248778722642280403e-01
2.920341507148283555e-01,8.786099625799454263e-03,-8.605949295335364457e-01
2.794393711919760381e-01,9.363442160073507867e-03,-2.152632756908448020e+00
3.092264422877895047e-01,7.578129571558623635e-03,1.270896557478732536e+00
3.145454631909592180e-01,1.107642642116942779e-02,1.349716877929023839e+00
2.973872061429300162e-01,1.006611212268645333e-02,-2.193714249676488592e-01
3.094928682729204961e-01,1.036285129611778412e-02,9.550889506115454175e-01
3.114965473567127274e-01,9.700471615511770465e-03,1.226860334760846438e+00
2.874128851141524166e-01,1.009221869100109491e-02,-1.207121918580522646e+00
3.035317477101615591e-01,9.040749369606720931e-03,4.353980014341359839e-01
2.877128948290459398e-01,9.473303917180748643e-03,-1.254317266500003081e+00
3.029548427147861767e-01,9.393471745506174614e-03,3.576333971755917274e-01
3.027685350215112425e-01,9.151175271684261134e-03,3.467436066011844176e-01
3.142455482872888450e-01,8.151235577817040473e-03,1.797288845876343188e+00
2.882039629804215020e-01,8.931937679753988377e-03,-1.275362741118019061e+00
2.916041667536275472e-01,8.259350981931536453e-03,-9.675405206804131852e-01
3.207805876870309381e-01,1.219569894934195708e-02,1.737101274134530637e+00
2.861717247443524847e-01,1.136943933224224094e-02,-1.180682561957785426e+00
2.912172044804751114e-01,9.646991628346151745e-03,-8.684799723547692585e-01
3.057249827552883104e-01,9.749346278290818221e-03,6.287148981228954936e-01
3.047445880550905817e-01,9.003622751584269834e-03,5.718991892476471550e-01
2.933216758120845147e-01,1.070050161346681669e-02,-5.863040741181426707e-01
3.090193259851709007e-01,9.109188826599310534e-03,1.034549031905535044e+00
2.828448498848080694e-01,9.795929378361524498e-03,-1.709952468150756966e+00
3.130189682658212069e-01,1.129218294212333031e-02,1.188746660539776734e+00
3.065708848983496049e-01,8.851650887149864824e-03,7.880407264263175060e-01
3.145425293249651810e-01,1.045163021269096895e-02,1.430121953955822089e+00
2.932926849011462944e-01,1.128111810497542042e-02,-5.586980424610408225e-01
2.916491002749601602e-01,1.151747390723070752e-02,-6.899362909100215102e-01
3.055791000040314898e-01,6.609718298972408999e-03,9.052846475762641454e-01
2.982504997571937544e-01,9.904629635874840493e-03,-1.357873838212751427e-01
3.021963032005536287e-01,9.197298133834262701e-03,2.827873642388364916e-01
3.047327862145126631e-01,9.042788328532938222e-03,5.681171033424220473e-01
3.144942081500534115e-01,1.016369956861930615e-02,1.465882038946324073e+00
3.020385218231371738e-01,9.626985443125341338e-03,2.537760480061730384e-01
2.764196619120594667e-01,7.946804160841595271e-03,-2.916362492649372751e+00
2.991167446804642305e-01,1.086342892086566980e-02,-4.406332716774413044e-02
2.816677182714017458e-01,9.468719314201491655e-03,-1.893361143874818353e+00
2.895667736952162730e-01,9.568081856219863221e-03,-1.048135870768322597e+00
2.882123142359135914e-01,7.641951715106095125e-03,-1.489555246044399039e+00
2.914003054275313698e-01,1.118539825119775795e-02,-7.326621629014368198e-01
3.014416765424638434e-01,7.411447279620333659e-03,2.491083009350574806e-01
2.936791322345224664e-01,7.061301977885030626e-03,-8.378470836078621975e-01
2.915933626826855418e-01,9.632975015422250500e-03,-8.306946512028885454e-01
3.070812274737321212e-01,7.458602869121439688e-03,1.003646943257352708e+00
2.915264424324313097e-01,9.155224332591013758e-03,-8.813526329455830810e-01
2.891594178312980046e-01,9.769683369150530816e-03,-1.068203060175252128e+00
3.118885080802479282e-01,9.730487842576220070e-03,1.263357477647839344e+00
3.008246992425099853e-01,9.671295837408222518e-03,1.271055875043469452e-01
3.098432059978346031e-01,8.345057377646285246e-03,1.228006235417534286e+00
2.802737513792619151e-01,9.967794528149907796e-03,-1.938409953108472639e+00
2.736844330147317761e-01,7.834080668208079357e-03,-3.307470472392112448e+00
3.000007769153485437e-01,9.418376567358791029e-03,4.303856500976043636e-02
3.029152548603670225e-01,1.001892717399631080e-02,3.313559725052830363e-01
3.070252357039009450e-01,7.402830486144315776e-03,1.003644783524256345e+00
2.939912727879537835e-01,1.074191577818483893e-02,-5.217086812945641583e-01
2.846222331431100816e-01,1.326369054145610030e-02,-1.128885683306511734e+00
3.109313310037952194e-01,1.040611902452679566e-02,1.089350167330306540e+00
3.020748386243090611e-01,1.041304073479152985e-02,2.381067340740438409e-01
3.035251994632444661e-01,9.472200978254328302e-03,4.148746388614774627e-01
3.179640830195332724e-01,9.808619573513652559e-03,1.872705876570699424e+00
3.102122273546645825e-01,8.970125473475405384e-03,1.183573616990144073e+00
3.072787514992662561e-01,8.449070763603553150e-03,9.093695876233170994e-01
2.939403853594485527e-01,8.443269817429393045e-03,-6.697687348621327308e-01
2.905985346722373408e-01,1.061824311718550032e-02,-8.473048442796690116e-01
3.092960599107445474e-01,8.246577225975300698e-03,1.176322750852480059e+00
3.155185720830503415e-01,8.070497374056930656e-03,1.973007095085407503e+00
3.011100771196920101e-01,8.243637410406436106e-03,1.837360792472633730e-01
2.992490108731808984e-01,8.248099815904396184e-03,-4.199908314870287596e-02
2.829367640765256264e-01,8.782458015447408908e-03,-1.896810596457328080e+00
2.911214059918335040e-01,8.732130849566933570e-03,-9.704409676539179630e-01
3.126592485356876061e-01,6.954569990620897667e-03,1.878451874111257913e+00
2.956151427495856687e-01,8.800123291362723851e-03,-4.522982942169486154e-01
3.163736103277393630e-01,1.080083595315714518e-02,1.553415577955068905e+00
2.895137924739071833e-01,8.209062763778519206e-03,-1.228109873120308393e+00
3.278809661649768614e-01,9.722671720719945967e-03,2.909235596377258037e+00
3.099369470384384373e-01,7.950381719834892502e-03,1.300758114477720273e+00
3.041395958875177108e-01,9.342065241006589776e-03,4.864205362646575326e-01
3.094813086194821428e-01,8.127935188266552716e-03,1.216284934282631847e+00
2.977604875212844227e-01,9.014908154159513576e-03,-2.035446119367060602e-01
2.816721515439528645e-01,7.378833401328709421e-03,-2.429011604461424945e+00
2.880249269491998998e-01,8.451096804865741718e-03,-1.369111823131196948e+00
2.914567278684294660e-01,9.864344039058592015e-03,-8.250620216116389960e-01
2.943963903611775956e-01,9.297680526674524312e-03,-5.591752832412920649e-01
3.093509192423053444e-01,1.090429538287526930e-02,8.946470538993346322e-01
2.758766715287615523e-01,9.699623296672480952e-03,-2.445327127553828639e+00
2.629633388468534672e-01,8.217157410552525243e-03,-4.457999625183186154e+00
2.948233565195975681e-01,9.332440041995234553e-03,-5.113418315141998738e-01
3.027268389994769437e-01,1.164794700790702971e-02,2.688384051012047138e-01
2.931809710850381556e-01,9.254792795570969746e-03,-6.930951950863181166e-01
2.919935659733725042e-01,1.147834634798525558e-02,-6.622781103943325975e-01
2.926381912526337392e-01,6.998502031641147363e-03,-9.941030550651507314e-01
2.879700415450649476e-01,1.017598797126362253e-02,-1.142432753550053359e+00
3.058172502989802144e-01,1.088529377023950487e-02,5.715809721941431665e-01
2.848984435065061160e-01,9.541318723170821858e-03,-1.540351016780369564e+00
3.089126068543905368e-01,8.721583009501975361e-03,1.068290394194700621e+00
3.051980778038403397e-01,7.630350561972592746e-03,7.342590953283903987e-01
2.872635181861757370e-01,1.132562932219448315e-02,-1.088849455175588288e+00
3.062642704383589098e-01,8.875588024187558434e-03,7.513695900505122927e-01
3.012025670528144516e-01,8.242903498155719141e-03,1.949729910105302833e-01
3.275110649307846900e-01,1.091924345643188222e-02,2.556554539607170717e+00
3.211186384873417343e-01,1.021806656308904895e-02,2.106388214569149486e+00
3.057380927414313221e-01,7.450835471597606723e-03,8.244269064427943716e-01
2.858768463706916063e-01,9.743394037062345220e-03,-1.407987512389721863e+00
2.714189920098276088e-01,9.086383913597615922e-03,-3.100951023120948946e+00
2.763364465250473523e-01,7.958579042842977777e-03,-2.922503735014976289e+00
3.199828553631229311e-01,9.742006431189395924e-03,2.092734387311010469e+00
2.952899274615275460e-01,9.149895218420559320e-03,-4.705514040174473278e-01
3.004384469260550916e-01,1.035290063038304953e-02,8.142871770768964068e-02
2.833619365594923223e-01,1.010767557955867361e-02,-1.606055399770195180e+00
2.960512286236171020e-01,8.983116457048936215e-03,-3.945395672533758558e-01
2.911991762988409560e-01,9.051614332359557771e-03,-9.275966580138411688e-01
2.831564026263338474e-01,6.165845104726796339e-03,-2.666142369394214562e+00
2.940928329075705450e-01,8.559608794772815069e-03,-6.428553836429589108e-01
3.000940704499613365e-01,9.521150102971389154e-03,5.237255388273410334e-02
3.049946911601765231e-01,8.096263353205703645e-03,6.668838971092538870e-01
3.017686733235681595e-01,1.014906668920976564e-02,2.141329727107652570e-01
2.951929781994866442e-01,7.945631836535798839e-03,-5.540711417609096578e-01
3.003828726949405725e-01,9.024634232050184751e-03,8.725552432653156665e-02
2.860053726016979492e-01,1.035441336398473799e-02,-1.312488735357962844e+00
3.019684930473177098e-01,1.078641179951184310e-02,2.200054650479076612e-01
3.148397118442955445e-01,8.581979979714179571e-03,1.776313668542883528e+00
2.955040772245923764e-01,6.997502312033825056e-03,-5.846866633455017892e-01
2.844806515801948099e-01,1.086597095213001803e-02,-1.391018988506513843e+00
2.926137788136290441e-01,7.070862240210742597e-03,-9.873823661611516034e-01
2.991722909299414090e-01,1.085073207891833029e-02,-3.899576269591568251e-02
2.813504940694979140e-01,1.300958809216424053e-02,-1.402421760352196900e+00
2.896801418718736865e-01,9.702179139793558685e-03,-1.021964394640641149e+00
2.730241713077155574e-01,9.852165302694081139e-03,-2.696996180949824851e+00
2.848537515395407338e-01,8.183802752048859389e-03,-1.801322980314558064e+00
3.040103193142405513e-01,1.049337829632463609e-02,4.207315972415694993e-01
2.888862272798835562e-01,9.470563870099276901e-03,-1.130787603586696610e+00
2.902443096827688751e-01,9.393623835195435631e-03,-9.954745883439393150e-01
2.954375369525275574e-01,9.331137441479753561e-03,-4.455926811405901966e-01
2.898226849579971232e-01,7.591483674997396951e-03,-1.287329191967747422e+00
2.879157474968048191e-01,8.718583105466396269e-03,-1.339630059732997314e+00
2.980416250742018436e-01,9.103798615418058279e-03,-1.706758348470642228e-01
2.968637903560385483e-01,8.608515596542635345e-03,-3.173175580034265364e-01
2.983267821481934146e-01,9.409377260356389244e-03,-1.348273450911035565e-01
3.059183469912067910e-01,9.383737927913343019e-03,6.738171437237642225e-01
3.143059228834584329e-01,9.501233138768419920e-03,1.548272646870065827e+00
3.070431103348241764e-01,8.709669196696419313e-03,8.551055916660094125e-01
2.966172674888687966e-01,7.248412625554302886e-03,-4.108700991717238460e-01
2.839622926363048472e-01,9.011441911255880025e-03,-1.734809037312465829e+00
2.947325016204274117e-01,8.597663349410615205e-03,-5.656097110471088873e-01
