# values, errors, pulls
2.871973217044206939e-01,8.499969746605107179e-03,-1.458605403119109134e+00
3.018736423336293440e-01,5.876918495449262418e-03,3.876553388013792567e-01
2.949016751824755644e-01,7.866143151565955019e-03,-5.967026318047484734e-01
3.041805154639973807e-01,5.549279943288821029e-03,8.262498932631112680e-01
3.007388187582699102e-01,5.877466110005626597e-03,1.945388086807611494e-01
3.069993160332140092e-01,7.132087641600545758e-03,1.038110144196797702e+00
2.858639330969818815e-01,5.796103659652197815e-03,-2.369089859757608441e+00
2.945347304186610726e-01,6.449907951233850752e-03,-7.846147763300557187e-01
2.995200340701512087e-01,5.632353882937949849e-03,-1.338506680928483981e-02
2.969417106601236478e-01,6.633553904691026452e-03,-4.000439102737378128e-01
2.966945643004605948e-01,6.600708011627667848e-03,-4.394769769541662652e-01
3.067577753458144985e-01,5.801996091373036110e-03,1.234463403602822362e+00
3.006004290335406726e-01,5.077245074090981809e-03,1.979430804908975938e-01
2.981073007569958744e-01,5.543045490299611591e-03,-2.684666306232240673e-01
2.852340462713604530e-01,6.944056167452717157e-03,-2.068153955770145824e+00
2.984910086040923893e-01,7.450067241713039662e-03,-1.482422726189426831e-01
2.829726227290328966e-01,6.311003498560683982e-03,-2.633939400909228290e+00
3.005191857632925623e-01,8.477768853956768255e-03,1.089628976724876519e-01
3.088296505982351947e-01,7.686373069978605192e-03,1.201376385324610663e+00
2.978451612411940896e-01,5.917424952347266273e-03,-2.957810662692902381e-01
3.059591845551495881e-01,5.110639468225024011e-03,1.245198588463904521e+00
3.184753266620252710e-01,6.560650539613258059e-03,2.877748638623624622e+00
2.933525666483247640e-01,7.406815788140831865e-03,-8.428529928931997039e-01
3.014665901986188778e-01,7.407623874397646635e-03,2.526001221414828080e-01
3.051046512496288221e-01,5.841186620645131590e-03,9.431692743712554172e-01
2.980798082861678133e-01,6.194611796609478076e-03,-2.446666985378490589e-01
2.919984711678749179e-01,5.849139212008785255e-03,-1.298815442739976955e+00
